step:304/1190 train_time:12852ms step_avg:42.28ms
step:305/1190 train_time:12899ms step_avg:42.29ms
step:306/1190 train_time:12956ms step_avg:42.34ms
step:307/1190 train_time:13004ms step_avg:42.36ms
step:308/1190 train_time:13061ms step_avg:42.40ms
step:309/1190 train_time:13108ms step_avg:42.42ms
step:310/1190 train_time:13166ms step_avg:42.47ms
step:311/1190 train_time:13213ms step_avg:42.49ms
step:312/1190 train_time:13271ms step_avg:42.53ms
step:313/1190 train_time:13318ms step_avg:42.55ms
step:314/1190 train_time:13376ms step_avg:42.60ms
step:315/1190 train_time:13423ms step_avg:42.61ms
step:316/1190 train_time:13481ms step_avg:42.66ms
step:317/1190 train_time:13528ms step_avg:42.67ms
step:318/1190 train_time:13586ms step_avg:42.72ms
step:319/1190 train_time:13633ms step_avg:42.74ms
step:320/1190 train_time:13690ms step_avg:42.78ms
step:321/1190 train_time:13737ms step_avg:42.80ms
step:322/1190 train_time:13795ms step_avg:42.84ms
step:323/1190 train_time:13843ms step_avg:42.86ms
step:324/1190 train_time:13899ms step_avg:42.90ms
step:325/1190 train_time:13947ms step_avg:42.92ms
step:326/1190 train_time:14004ms step_avg:42.96ms
step:327/1190 train_time:14053ms step_avg:42.97ms
step:328/1190 train_time:14110ms step_avg:43.02ms
step:329/1190 train_time:14158ms step_avg:43.03ms
step:330/1190 train_time:14215ms step_avg:43.07ms
step:331/1190 train_time:14263ms step_avg:43.09ms
step:332/1190 train_time:14320ms step_avg:43.13ms
step:333/1190 train_time:14367ms step_avg:43.14ms
step:334/1190 train_time:14423ms step_avg:43.18ms
step:335/1190 train_time:14475ms step_avg:43.21ms
step:336/1190 train_time:14531ms step_avg:43.25ms
step:337/1190 train_time:14578ms step_avg:43.26ms
step:338/1190 train_time:14695ms step_avg:43.48ms
step:339/1190 train_time:14762ms step_avg:43.55ms
step:340/1190 train_time:14799ms step_avg:43.53ms
step:341/1190 train_time:14841ms step_avg:43.52ms
step:342/1190 train_time:14898ms step_avg:43.56ms
step:343/1190 train_time:14944ms step_avg:43.57ms
step:344/1190 train_time:15002ms step_avg:43.61ms
step:345/1190 train_time:15049ms step_avg:43.62ms
step:346/1190 train_time:15105ms step_avg:43.66ms
step:347/1190 train_time:15154ms step_avg:43.67ms
step:348/1190 train_time:15211ms step_avg:43.71ms
step:349/1190 train_time:15259ms step_avg:43.72ms
step:350/1190 train_time:15317ms step_avg:43.76ms
step:351/1190 train_time:15363ms step_avg:43.77ms
step:352/1190 train_time:15421ms step_avg:43.81ms
step:353/1190 train_time:15468ms step_avg:43.82ms
step:354/1190 train_time:15525ms step_avg:43.86ms
step:355/1190 train_time:15573ms step_avg:43.87ms
step:356/1190 train_time:15631ms step_avg:43.91ms
step:357/1190 train_time:15680ms step_avg:43.92ms
step:358/1190 train_time:15737ms step_avg:43.96ms
step:359/1190 train_time:15785ms step_avg:43.97ms
step:360/1190 train_time:15842ms step_avg:44.01ms
step:361/1190 train_time:15891ms step_avg:44.02ms
step:362/1190 train_time:15948ms step_avg:44.05ms
step:363/1190 train_time:15996ms step_avg:44.07ms
step:364/1190 train_time:16053ms step_avg:44.10ms
step:365/1190 train_time:16100ms step_avg:44.11ms
step:366/1190 train_time:16158ms step_avg:44.15ms
step:367/1190 train_time:16205ms step_avg:44.15ms
step:368/1190 train_time:16262ms step_avg:44.19ms
step:369/1190 train_time:16309ms step_avg:44.20ms
step:370/1190 train_time:16367ms step_avg:44.23ms
step:371/1190 train_time:16415ms step_avg:44.25ms
step:372/1190 train_time:16473ms step_avg:44.28ms
step:373/1190 train_time:16520ms step_avg:44.29ms
step:374/1190 train_time:16578ms step_avg:44.33ms
step:375/1190 train_time:16626ms step_avg:44.34ms
step:376/1190 train_time:16684ms step_avg:44.37ms
step:377/1190 train_time:16732ms step_avg:44.38ms
step:378/1190 train_time:16790ms step_avg:44.42ms
step:379/1190 train_time:16837ms step_avg:44.42ms
step:380/1190 train_time:16894ms step_avg:44.46ms
step:381/1190 train_time:16942ms step_avg:44.47ms
step:382/1190 train_time:16999ms step_avg:44.50ms
step:383/1190 train_time:17047ms step_avg:44.51ms
step:384/1190 train_time:17104ms step_avg:44.54ms
step:385/1190 train_time:17152ms step_avg:44.55ms
step:386/1190 train_time:17210ms step_avg:44.58ms
step:387/1190 train_time:17257ms step_avg:44.59ms
step:388/1190 train_time:17315ms step_avg:44.63ms
step:389/1190 train_time:17361ms step_avg:44.63ms
step:390/1190 train_time:17420ms step_avg:44.67ms
step:391/1190 train_time:17466ms step_avg:44.67ms
step:392/1190 train_time:17524ms step_avg:44.70ms
step:393/1190 train_time:17572ms step_avg:44.71ms
