step:291/1190 train_time:12257ms step_avg:42.12ms
step:292/1190 train_time:12315ms step_avg:42.17ms
step:293/1190 train_time:12361ms step_avg:42.19ms
step:294/1190 train_time:12420ms step_avg:42.24ms
step:295/1190 train_time:12466ms step_avg:42.26ms
step:296/1190 train_time:12523ms step_avg:42.31ms
step:297/1190 train_time:12571ms step_avg:42.33ms
step:298/1190 train_time:12628ms step_avg:42.38ms
step:299/1190 train_time:12675ms step_avg:42.39ms
step:300/1190 train_time:12733ms step_avg:42.44ms
step:301/1190 train_time:12781ms step_avg:42.46ms
step:302/1190 train_time:12838ms step_avg:42.51ms
step:303/1190 train_time:12886ms step_avg:42.53ms
step:304/1190 train_time:12944ms step_avg:42.58ms
step:305/1190 train_time:12992ms step_avg:42.60ms
step:306/1190 train_time:13049ms step_avg:42.64ms
step:307/1190 train_time:13096ms step_avg:42.66ms
step:308/1190 train_time:13154ms step_avg:42.71ms
step:309/1190 train_time:13202ms step_avg:42.72ms
step:310/1190 train_time:13260ms step_avg:42.77ms
step:311/1190 train_time:13307ms step_avg:42.79ms
step:312/1190 train_time:13364ms step_avg:42.83ms
step:313/1190 train_time:13411ms step_avg:42.85ms
step:314/1190 train_time:13468ms step_avg:42.89ms
step:315/1190 train_time:13517ms step_avg:42.91ms
step:316/1190 train_time:13574ms step_avg:42.96ms
step:317/1190 train_time:13622ms step_avg:42.97ms
step:318/1190 train_time:13679ms step_avg:43.02ms
step:319/1190 train_time:13726ms step_avg:43.03ms
step:320/1190 train_time:13784ms step_avg:43.08ms
step:321/1190 train_time:13831ms step_avg:43.09ms
step:322/1190 train_time:13889ms step_avg:43.13ms
step:323/1190 train_time:13936ms step_avg:43.15ms
step:324/1190 train_time:13994ms step_avg:43.19ms
step:325/1190 train_time:14042ms step_avg:43.20ms
step:326/1190 train_time:14100ms step_avg:43.25ms
step:327/1190 train_time:14146ms step_avg:43.26ms
step:328/1190 train_time:14204ms step_avg:43.31ms
step:329/1190 train_time:14252ms step_avg:43.32ms
step:330/1190 train_time:14309ms step_avg:43.36ms
step:331/1190 train_time:14357ms step_avg:43.37ms
step:332/1190 train_time:14414ms step_avg:43.41ms
step:333/1190 train_time:14461ms step_avg:43.43ms
step:334/1190 train_time:14520ms step_avg:43.47ms
step:335/1190 train_time:14566ms step_avg:43.48ms
step:336/1190 train_time:14624ms step_avg:43.52ms
step:337/1190 train_time:14770ms step_avg:43.83ms
step:338/1190 train_time:14806ms step_avg:43.80ms
step:339/1190 train_time:14839ms step_avg:43.77ms
step:340/1190 train_time:14885ms step_avg:43.78ms
step:341/1190 train_time:14931ms step_avg:43.79ms
step:342/1190 train_time:14988ms step_avg:43.83ms
step:343/1190 train_time:15035ms step_avg:43.83ms
step:344/1190 train_time:15092ms step_avg:43.87ms
step:345/1190 train_time:15139ms step_avg:43.88ms
step:346/1190 train_time:15197ms step_avg:43.92ms
step:347/1190 train_time:15243ms step_avg:43.93ms
step:348/1190 train_time:15301ms step_avg:43.97ms
step:349/1190 train_time:15348ms step_avg:43.98ms
step:350/1190 train_time:15405ms step_avg:44.02ms
step:351/1190 train_time:15453ms step_avg:44.02ms
step:352/1190 train_time:15510ms step_avg:44.06ms
step:353/1190 train_time:15558ms step_avg:44.07ms
step:354/1190 train_time:15615ms step_avg:44.11ms
step:355/1190 train_time:15662ms step_avg:44.12ms
step:356/1190 train_time:15720ms step_avg:44.16ms
step:357/1190 train_time:15768ms step_avg:44.17ms
step:358/1190 train_time:15827ms step_avg:44.21ms
step:359/1190 train_time:15874ms step_avg:44.22ms
step:360/1190 train_time:15931ms step_avg:44.25ms
step:361/1190 train_time:15980ms step_avg:44.27ms
